ax,ay,az,gx,gy,gz,label
0.19,-0.22,0.86,-2,-3,0,fall
0.21,-0.19,0.88,-7,-3,1,fall
0.21,-0.22,0.87,-10,-3,2,fall
0.2,-0.23,0.86,-14,-4,2,fall
0.18,-0.23,0.86,-18,-4,3,fall
0.2,-0.36,0.83,-12,-3,2,fall
0.2,-0.37,0.82,1,-3,0,fall
0.21,-0.27,0.86,4,-3,0,fall
0.21,-0.21,0.88,-2,-3,1,fall
0.21,-0.25,0.87,-8,-3,2,fall

0.74,-0.48,0.15,-20,-4,2,slow
1.3,-0.06,-0.15,-2,-7,7,slow
1.06,-0.08,-0.18,15,4,15,slow
0.93,-0.39,0.15,-13,-9,4,slow
0.62,-0.02,-0.1,-28,-3,3,slow
1.09,-0.25,-0.17,-52,-1,4,slow
1.05,0.06,-0.11,-42,0,1,slow
0.9599999,-0.29,0.09,-26,2,-3,slow
0.92,-0.27,0.03,-25,0,-6,slow
1.04,0.15,0.23,-32,-3,2,slow
0.84,-0.34,-0.2,-25,4,3,slow
1.0,-0.04,0.06,-18,6,0,slow
1.08,-0.38,-0.08,-7,7,3,slow
1.07,-0.36,-0.17,10,11,3,slow
0.8,-0.3,-0.15,6,2,0,slow
0.95,-0.36,-0.07,8,0,-2,slow
1.05,-0.19,0.05,2,-3,0,slow
1.2,-0.31,-0.08,-5,-2,1,slow
0.82,-0.36,0.03,-22,-4,-1,slow
0.82,-0.19,0.12,-23,-6,-4,slow
1.12,-0.14,-0.06,-23,-4,0,slow
1.12,-0.04,0.09,-32,-6,-2,slow
0.9599999,-0.52,0.03,-32,-7,0,slow
0.9,-0.27,-0.06,-13,-2,3,slow
0.94,-0.51,-0.06,-11,-1,1,slow
1.11,-0.46,-0.12,-4,4,2,slow
1.28,-0.19,0.0,-11,4,1,slow
0.79,-0.46,-0.14,-10,7,1,slow
0.87,0.01,0.1,-10,5,5,slow
1.3,-0.23,0.04,-10,2,4,slow
0.68,-0.62,-0.08,-7,6,1,slow
1.02,-0.23,-0.16,1,6,1,slow
1.34,-0.0,0.06,10,5,4,slow
0.85,-0.1,0.06,1,-2,-6,slow
0.98,-0.29,0.08,-4,-6,-6,slow
1.25,-0.31,0.03,-1,-4,0,slow
0.9599999,-0.57,-0.05,-17,-4,2,slow
0.83,-0.34,0.22,-12,-1,-2,slow
1.11,-0.19,-0.09,-9,-1,-1,slow
1.01,-0.12,0.1,-4,1,2,slow
0.79,-0.46,-0.05,11,4,10,slow
1.42,-0.13,-0.18,11,2,7,slow
0.78,-0.09,0.25,-1,-5,-5,slow
0.81,-0.09,0.13,-2,-7,-4,slow
0.77,-0.33,0.0,-8,-13,-2,slow
1.21,0.08,0.07,-14,-3,4,slow
0.69,-0.38,0.1,-21,-8,-1,slow
0.91,0.13,0.14,-15,-4,2,slow
1.0,0.11,-0.17,5,-6,-1,slow
0.99,-0.47,-0.04,15,-1,4,slow

0.7,-0.75,0.32,-4,-11,-4,fast
1.27,-0.09,-0.12,-28,-16,-5,fast
1.95,-0.26,0.42,-13,-3,0,fast
0.68,-0.59,0.23,-21,-19,-16,fast
1.67,0.01,0.14,-25,-9,0,fast
2.0,-0.44,0.35,-10,5,3,fast
1.61,0.66,0.15,-22,-8,3,fast
1.17,0.25,-0.11,-27,-6,5,fast
0.68,-0.27,0.12,8,-13,3,fast
0.99,-0.35,0.08,26,-2,11,fast
1.58,0.32,0.28,-4,-9,6,fast
1.86,-0.37,0.03,-41,-13,-7,fast
0.9700001,-0.43,0.02,-14,2,1,fast
0.46,-0.98,-0.17,-8,0,11,fast
1.46,-0.16,-0.16,-9,5,5,fast
1.04,-0.14,-0.02,-5,-4,-3,fast
1.04,0.16,0.12,-3,5,-6,fast
0.4,0.33,0.18,-13,-1,-14,fast
0.6,-0.53,0.07,9,-5,0,fast
1.29,0.03,0.09,18,13,11,fast
0.69,-0.59,0.16,-2,-15,6,fast
0.81,-0.41,-0.55,-18,-9,-1,fast
0.73,-0.29,-0.18,-21,-10,-9,fast
0.88,-0.63,-0.11,-15,-4,-6,fast
1.35,-0.38,0.45,-11,7,-6,fast
1.13,0.17,-0.32,9,-1,8,fast
1.15,-0.5,-0.14,9,6,5,fast
0.68,-0.4,-0.13,-5,4,0,fast
1.54,-0.34,0.08,3,-4,11,fast
0.18,-0.41,-0.01,-7,1,4,fast
0.6,0.13,0.09,-7,9,-9,fast
0.55,-0.34,-0.03,-16,-13,4,fast
1.35,-0.73,-0.14,-4,-12,10,fast
1.5,-0.14,-0.04,-15,-1,20,fast
-1.98,0.36,0.28,50,30,-8,fast
0.33,-1.18,0.04,26,-1,-2,fast
0.43,-0.29,-0.14,36,3,3,fast
1.57,-0.23,-0.41,33,-13,7,fast
0.52,-0.17,0.12,24,-10,10,fast
1.02,-0.14,0.22,-8,-19,9,fast
0.89,-0.34,0.47,-13,-16,11,fast
0.83,-0.23,0.22,-13,-11,-5,fast
1.67,-0.44,0.02,-25,-9,-3,fast
1.95,0.2,0.02,-2,3,6,fast
0.91,-0.54,0.11,9,2,3,fast
0.66,-0.65,-0.04,7,-3,7,fast
0.8,0.06,-0.29,5,-4,1,fast
1.48,-0.13,-0.11,5,3,3,fast
1.29,-0.11,0.2,11,3,0,fast
0.78,-0.6,-0.03,7,-7,8,fast

1.13,-0.08,-0.0,1,-12,1,fast
1.0,-0.31,-0.3,3,-1,16,fast
0.71,-0.73,0.15,17,6,9,fast
0.28,-0.04,0.21,15,4,0,fast
1.11,0.01,0.14,-6,-19,-2,fast
1.36,-0.66,-0.33,-23,-1,2,fast
1.22,-0.22,0.24,26,14,21,fast
1.24,0.25,0.12,13,-2,-1,fast
0.08,-0.22,0.04,-15,-4,-5,fast
0.79,-0.54,0.18,13,-4,-7,fast
0.47,-0.61,0.08,0,-18,1,fast
0.51,-1.13,-0.2,-23,-23,3,fast
2.0,-0.37,-0.14,-52,-7,-11,fast
0.54,-0.87,-0.1,-16,7,-11,fast
2.0,0.03,0.42,-9,22,7,fast
0.5,-0.74,0.18,17,14,-2,fast
1.94,0.74,0.53,9,-21,-7,fast
0.65,0.02,-0.23,11,-14,1,fast
1.76,0.61,0.53,-3,-16,1,fast
0.95,-1.14,0.37,-18,-14,-3,fast
1.92,-0.09,-0.09,-7,-10,8,fast
1.57,0.06,0.16,-9,-7,-2,fast
1.85,-0.35,-0.21,-12,-1,11,fast
0.88,-0.49,0.19,-9,2,8,fast
0.22,-0.35,-0.09,0,-9,-6,fast
1.05,-0.54,-0.43,-17,-10,5,fast
1.37,-0.5,0.24,-8,-11,-4,fast
1.26,0.48,0.36,-16,-7,2,fast
1.94,0.31,-0.02,-23,-14,0,fast
0.51,-0.44,0.31,-16,-12,0,fast
0.69,-0.23,-0.56,-13,8,-5,fast
2.0,-0.57,0.12,-12,13,2,fast
2.0,0.11,-0.21,-8,-4,9,fast
0.9700001,-0.55,-0.09,-3,11,-1,fast
0.89,-0.54,0.33,-12,-10,-4,fast
1.64,0.09,-0.01,0,-9,11,fast
1.67,0.57,0.44,0,-2,3,fast
1.82,-0.11,0.15,6,6,6,fast
0.01,-0.56,-0.01,-10,6,-7,fast
0.84,-0.7,-0.26,-12,0,12,fast
0.5,-0.87,0.26,6,-10,-11,fast
-0.59,-0.64,-0.24,-11,2,-24,fast
0.6,-0.54,-0.22,-17,-11,7,fast
0.79,-0.46,-0.02,4,-11,-6,fast
2.0,-0.47,0.11,14,9,13,fast
0.88,-0.74,0.2,-10,3,3,fast
0.99,-0.04,-0.05,-24,-3,5,fast
1.02,-0.31,-0.15,12,2,13,fast
0.8,0.57,0.29,7,6,-9,fast
2.0,0.64,0.42,-5,-11,15,fast

0.66,-0.39,-0.24,-40,-16,-4,slow
0.82,-0.25,0.12,-38,-10,-5,slow
1.36,-0.04,0.06,-23,-3,1,slow
0.9599999,-0.45,0.14,-27,-7,1,slow
0.71,-0.37,-0.13,-36,-3,-5,slow
1.25,-0.42,0.03,-48,0,-6,slow
1.06,-0.27,-0.18,-36,-2,-1,slow
1.26,-0.25,-0.02,-9,6,5,slow
0.89,-0.05,-0.1,-11,5,-1,slow
1.19,-0.18,-0.33,0,7,5,slow
1.29,0.27,-0.03,20,7,5,slow
1.16,-0.18,-0.08,11,11,6,slow
1.03,-0.31,-0.01,3,-2,4,slow
0.66,-0.24,0.01,2,-1,6,slow
1.07,-0.03,0.02,-2,0,4,slow
0.87,-0.42,-0.01,-7,-5,2,slow
1.03,0.0,-0.12,-18,-8,0,slow
1.06,-0.15,0.08,-23,-6,0,slow
0.9700001,-0.22,0.02,-29,-6,-1,slow
1.02,-0.11,-0.02,-31,-2,-6,slow
0.8,-0.31,-0.17,-28,2,-9,slow
0.92,-0.12,-0.14,-24,4,-2,slow
0.9700001,-0.33,-0.1,-13,6,1,slow
0.87,-0.2,-0.11,-6,4,6,slow
1.04,-0.22,-0.19,9,8,5,slow
0.9700001,-0.09,-0.17,30,10,8,slow
1.17,-0.22,-0.03,42,8,5,slow
0.77,-0.12,0.17,13,-3,1,slow
